place of work : 2011 census merged local authority district,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000015,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000024,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000044,S12000045,S12000046
E41000001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,6,0,1,0,0,3,0,0,0,0
E41000002,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,4,1,3,1,0,1,0,2,0,1,0,3
E41000003,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,17,1,0,0,0,3,0,3,0,1
E41000004,1,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,1,10,2,4,3,0,0,0,1,0,0,0,4
E41000005,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,5,0,3,5,1,0,0,3,0,0,0,2
E41000047,0,0,0,1,0,0,1,1,0,0,1,6,10,0,2,1,0,0,3,4,1,4,11,13,1,0,1,10,1,4,0,4
E41000048,0,1,2,10,0,1,0,3,0,1,0,4,4,0,1,99,1,0,1,0,1,4,10,12,0,0,0,1,0,3,0,4
E41000276,0,0,1,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,4,1,0,0,3,1,0,0,1
E41000277,0,0,0,1,0,1,1,2,2,0,0,2,1,0,5,2,0,1,1,2,2,3,2,20,2,0,2,8,0,6,0,8
E41000278,0,3,0,3,0,0,0,3,1,0,0,0,1,0,0,4,3,0,1,1,2,0,5,2,0,0,0,1,0,0,0,4
E41000279,0,1,0,0,0,0,0,4,0,0,1,1,3,0,0,0,0,0,0,2,6,0,2,2,0,0,2,0,0,5,0,8
E41000280,0,0,0,0,0,0,0,3,2,0,1,1,14,0,2,0,1,0,2,23,7,2,8,6,0,0,0,2,0,1,0,2
E41000006,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0
E41000007,0,2,2,0,0,0,1,1,0,0,0,2,0,0,1,1,2,0,2,1,0,0,1,0,0,0,1,2,0,1,0,0
E41000008,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,6,0,0,1,1,0,12,0,0,0,0,0
E41000009,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
E41000049,0,0,0,0,0,0,0,1,1,0,0,1,2,0,3,4,0,0,1,0,0,3,1,1,3,0,0,1,0,4,0,4
E41000050,0,0,0,0,0,0,2,1,0,0,0,3,3,0,0,0,0,0,1,0,4,0,4,4,0,0,0,1,0,1,0,0
E41000065,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,2
E41000066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
E41000067,3,98,4,0,1,1,2,7,0,0,0,2,2,0,1,6,0,0,1,1,0,1,1,2,0,1,0,2,0,1,0,6
E41000068,0,3,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0
E41000069,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
