Origin,Destination,Leave,Back,width time,Length Time,O 0-5,D 0-5,O 5-15,D 5-15,O 16-24,D 16-24,O 25-34,D 25-34,O 35-49,D 35-49,O 50-64,D 50-64,O 65-74,D 65-74,O 75+,D 75+,Width time,Length time
,,6,18,,,0,0,0,,26.0,0.0,104.0,0.0,124.0,0.0,54.0,0.0,6.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,17.0,6.0,13.0,7.0,17.0,6.0,22.0,1.0,4.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,19.0,11.0,41.0,12.0,28.0,4.0,29.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,25.0,60.0,31.0,154.0,37.0,92.0,27.0,67.0,4.0,4.0,2.0,0.0,10,60
,,6,18,,,0,0,0,,16.0,39.0,16.0,53.0,14.0,99.0,14.0,78.0,4.0,8.0,0.0,4.0,10,60
,,6,18,,,0,0,0,,7.0,49.0,5.0,77.0,13.0,121.0,10.0,62.0,4.0,8.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,42.0,17.0,15.0,10.0,43.0,8.0,34.0,0.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,54.0,4.0,36.0,14.0,78.0,9.0,33.0,0.0,5.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,11.0,32.0,11.0,25.0,10.0,41.0,8.0,33.0,1.0,7.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,62.0,6.0,38.0,17.0,109.0,9.0,73.0,0.0,7.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,34.0,4.0,16.0,15.0,45.0,5.0,38.0,1.0,5.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,56.0,11.0,25.0,14.0,55.0,7.0,65.0,1.0,6.0,0.0,4.0,10,60
,,6,18,,,0,0,0,,6.0,22.0,23.0,21.0,30.0,53.0,24.0,43.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,20.0,4.0,16.0,10.0,31.0,4.0,33.0,0.0,7.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,10.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,22.0,0.0,21.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,6.0,13.0,12.0,7.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,0.0,6.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,8.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,10.0,4.0,3.0,13.0,8.0,6.0,4.0,0.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,20.0,0.0,30.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,7.0,0.0,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,5.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,18.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,0.0,45.0,0.0,55.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,9.0,0.0,46.0,0.0,63.0,0.0,23.0,0.0,1.0,0.0,2.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,5.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,41.0,0.0,54.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,11.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,17.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,23.0,0.0,32.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,19.0,0.0,156.0,0.0,216.0,0.0,56.0,0.0,1.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,9.0,12.0,7.0,7.0,11.0,1.0,11.0,0.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,9.0,7.0,20.0,17.0,16.0,11.0,5.0,16.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,7.0,12.0,7.0,11.0,20.0,4.0,23.0,2.0,4.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,7.0,10.0,11.0,9.0,15.0,12.0,16.0,1.0,3.0,0.0,0.0,10,60
