Age,Home,From,To,move_N,percentage_moving,t1,t2,ct1,ct2,S,E,A,Ia,Is,Ih,Ic,Im,R
2,57,57,116,35.0140597539543,-1,8.75266193755581,9,9,9.24733806244419,1,1,1,1,0,0,0,0,1
2,57,116,57,35.0140597539543,-1,17,17.2473380624442,17.2473380624442,17.4946761248884,1,1,1,1,1,1,1,1,1
2,90,90,116,21.3931743805517,-1,8.6846759692872,9,9,9.3153240307128,1,1,1,1,0,0,0,0,1
2,90,116,90,21.3931743805517,-1,17,17.3153240307128,17.3153240307128,17.6306480614256,1,1,1,1,1,1,1,1,1
2,92,92,116,22.2945990180033,-1,8.7339788402947,9,9,9.2660211597053,1,1,1,1,0,0,0,0,1
2,92,116,92,22.2945990180033,-1,17,17.2660211597053,17.2660211597053,17.5320423194106,1,1,1,1,1,1,1,1,1
2,94,94,116,24.3782608695652,-1,8.78483163543216,9,9,9.21516836456784,1,1,1,1,0,0,0,0,1
2,94,116,94,24.3782608695652,-1,17,17.2151683645678,17.2151683645678,17.4303367291357,1,1,1,1,1,1,1,1,1
3,94,94,116,23.8501012829169,-1,8.78483163543216,9,9,9.21516836456784,1,1,1,1,0,0,0,0,1
3,94,116,94,23.8501012829169,-1,17,17.2151683645678,17.2151683645678,17.4303367291357,1,1,1,1,1,1,1,1,1
2,96,96,116,23.515117581187,-1,8.79628393992557,9,9,9.20371606007443,1,1,1,1,0,0,0,0,1
2,96,116,96,23.515117581187,-1,17,17.2037160600744,17.2037160600744,17.4074321201489,1,1,1,1,1,1,1,1,1
1,97,97,116,29.3310810810811,-1,8.75341833917035,9,9,9.24658166082965,1,1,1,1,0,0,0,0,1
1,97,116,97,29.3310810810811,-1,17,17.2465816608296,17.2465816608296,17.4931633216593,1,1,1,1,1,1,1,1,1
2,97,97,116,36.5122760451228,-1,8.75341833917035,9,9,9.24658166082965,1,1,1,1,0,0,0,0,1
2,97,116,97,36.5122760451228,-1,17,17.2465816608296,17.2465816608296,17.4931633216593,1,1,1,1,1,1,1,1,1
3,97,97,116,23.099257258609,-1,8.75341833917035,9,9,9.24658166082965,1,1,1,1,0,0,0,0,1
3,97,116,97,23.099257258609,-1,17,17.2465816608296,17.2465816608296,17.4931633216593,1,1,1,1,1,1,1,1,1
2,98,98,116,27.2848743987173,-1,8.84099198921255,9,9,9.15900801078745,1,1,1,1,0,0,0,0,1
2,98,116,98,27.2848743987173,-1,17,17.1590080107874,17.1590080107874,17.3180160215749,1,1,1,1,1,1,1,1,1
3,98,98,116,25.4401805869074,-1,8.84099198921255,9,9,9.15900801078745,1,1,1,1,0,0,0,0,1
3,98,116,98,25.4401805869074,-1,17,17.1590080107874,17.1590080107874,17.3180160215749,1,1,1,1,1,1,1,1,1
2,99,99,116,32.7300802964793,-1,8.8270900517516,9,9,9.17290994824841,1,1,1,1,0,0,0,0,1
2,99,116,99,32.7300802964793,-1,17,17.1729099482484,17.1729099482484,17.3458198964968,1,1,1,1,1,1,1,1,1
3,100,100,116,22.0986367281476,-1,8.80312477378807,9,9,9.19687522621193,1,1,1,1,0,0,0,0,1
3,100,116,100,22.0986367281476,-1,17,17.1968752262119,17.1968752262119,17.3937504524239,1,1,1,1,1,1,1,1,1
1,102,102,116,27.7091711623345,-1,8.80700507807013,9,9,9.19299492192987,1,1,1,1,0,0,0,0,1
1,102,116,102,27.7091711623345,-1,17,17.1929949219299,17.1929949219299,17.3859898438597,1,1,1,1,1,1,1,1,1
2,102,102,116,44.1419909044972,-1,8.80700507807013,9,9,9.19299492192987,1,1,1,1,0,0,0,0,1
2,102,116,102,44.1419909044972,-1,17,17.1929949219299,17.1929949219299,17.3859898438597,1,1,1,1,1,1,1,1,1
3,102,102,116,28.0267295597484,-1,8.80700507807013,9,9,9.19299492192987,1,1,1,1,0,0,0,0,1
3,102,116,102,28.0267295597484,-1,17,17.1929949219299,17.1929949219299,17.3859898438597,1,1,1,1,1,1,1,1,1
1,103,103,116,29.2059672762271,-1,8.87529083845319,9,9,9.12470916154681,1,1,1,1,0,0,0,0,1
1,103,116,103,29.2059672762271,-1,17,17.1247091615468,17.1247091615468,17.2494183230936,1,1,1,1,1,1,1,1,1
2,103,103,116,27.7968970380818,-1,8.87529083845319,9,9,9.12470916154681,1,1,1,1,0,0,0,0,1
2,103,116,103,27.7968970380818,-1,17,17.1247091615468,17.1247091615468,17.2494183230936,1,1,1,1,1,1,1,1,1
3,103,103,116,25.2283907238229,-1,8.87529083845319,9,9,9.12470916154681,1,1,1,1,0,0,0,0,1
3,103,116,103,25.2283907238229,-1,17,17.1247091615468,17.1247091615468,17.2494183230936,1,1,1,1,1,1,1,1,1
3,104,104,116,22.2140883977901,-1,8.81051249328953,9,9,9.18948750671047,1,1,1,1,0,0,0,0,1
3,104,116,104,22.2140883977901,-1,17,17.1894875067105,17.1894875067105,17.3789750134209,1,1,1,1,1,1,1,1,1
1,105,105,116,29.5654411764706,-1,8.7677323952893,9,9,9.2322676047107,1,1,1,1,0,0,0,0,1
1,105,116,105,29.5654411764706,-1,17,17.2322676047107,17.2322676047107,17.4645352094214,1,1,1,1,1,1,1,1,1
2,105,105,116,27.9849785407725,-1,8.7677323952893,9,9,9.2322676047107,1,1,1,1,0,0,0,0,1
2,105,116,105,27.9849785407725,-1,17,17.2322676047107,17.2322676047107,17.4645352094214,1,1,1,1,1,1,1,1,1
3,105,105,116,25.6,-1,8.7677323952893,9,9,9.2322676047107,1,1,1,1,0,0,0,0,1
3,105,116,105,25.6,-1,17,17.2322676047107,17.2322676047107,17.4645352094214,1,1,1,1,1,1,1,1,1
1,106,106,116,44.7726306842329,-1,8.89993770878645,9,9,9.10006229121355,1,1,1,1,0,0,0,0,1
1,106,116,106,44.7726306842329,-1,17,17.1000622912135,17.1000622912135,17.2001245824271,1,1,1,1,1,1,1,1,1
2,106,106,116,65.9592376919005,-1,8.89993770878645,9,9,9.10006229121355,1,1,1,1,0,0,0,0,1
2,106,116,106,65.9592376919005,-1,17,17.1000622912135,17.1000622912135,17.2001245824271,1,1,1,1,1,1,1,1,1
3,106,106,116,37.4943735933984,-1,8.89993770878645,9,9,9.10006229121355,1,1,1,1,0,0,0,0,1
3,106,116,106,37.4943735933984,-1,17,17.1000622912135,17.1000622912135,17.2001245824271,1,1,1,1,1,1,1,1,1
1,108,108,116,61.1872986654395,-1,8.84825848809965,9,9,9.15174151190035,1,1,1,1,0,0,0,0,1
1,108,116,108,61.1872986654395,-1,17,17.1517415119003,17.1517415119003,17.3034830238007,1,1,1,1,1,1,1,1,1
2,108,108,116,142.947937131631,-1,8.84825848809965,9,9,9.15174151190035,1,1,1,1,0,0,0,0,1
2,108,116,108,142.947937131631,-1,17,17.1517415119003,17.1517415119003,17.3034830238007,1,1,1,1,1,1,1,1,1
3,108,108,116,56.9713524317122,-1,8.84825848809965,9,9,9.15174151190035,1,1,1,1,0,0,0,0,1
3,108,116,108,56.9713524317122,-1,17,17.1517415119003,17.1517415119003,17.3034830238007,1,1,1,1,1,1,1,1,1
1,109,109,116,58.1115900383142,-1,8.90913972993483,9,9,9.09086027006517,1,1,1,1,0,0,0,0,1
1,109,116,109,58.1115900383142,-1,17,17.0908602700652,17.0908602700652,17.1817205401303,1,1,1,1,1,1,1,1,1
