Node,x,y
0,532384.277469,181344.976500
1,548396.268026,189919.530500
2,548259.566921,188512.437000
3,551037.257137,186346.385500
4,548518.004605,186798.164000
5,549699.451891,186661.871000
6,548214.056392,185898.414000
7,546775.586432,185795.756500
8,548909.463453,185261.224500
9,550611.782097,185187.852000
10,545556.358764,184891.883500
11,547459.956812,184697.040000
12,548984.638683,184501.284500
13,550157.548642,184111.725000
14,544047.014088,184289.000500
15,544915.067108,184408.519500
16,546677.351510,184410.272000
17,548047.418189,183218.015500
18,545641.004838,182895.640000
19,549617.667824,182958.536000
20,544339.113383,183573.500500
21,546526.501275,182930.468000
22,524056.764021,196951.444500
23,526373.991907,196694.334500
24,527735.335948,195836.668500
25,523840.279675,195694.763000
26,526103.691908,195494.251000
27,527221.491459,195454.565500
28,522236.165571,195130.524000
29,526702.076800,194310.289500
30,528977.322558,194109.040000
31,528279.451371,193527.844500
32,527157.305188,193117.953000
33,525837.743012,193112.587500
34,520396.104385,193039.111500
35,518828.119053,193527.001000
36,527763.217097,192411.143500
37,521793.116516,192179.249000
38,523651.981297,192437.185500
39,519651.749572,191902.212500
40,526330.493976,191847.999500
41,525171.685118,192273.856500
42,520975.285189,191701.913000
43,528263.354385,191199.492000
44,525506.693148,190733.087500
45,520502.062787,190571.883500
46,523612.236143,190743.331500
47,521565.860363,190743.591500
48,526620.590420,190595.171000
49,524951.061020,189985.772000
50,527364.534639,189681.048000
51,521484.034595,189897.431000
52,522425.733854,189471.662000
53,523088.763970,189089.290500
54,526385.516760,188501.479500
55,523713.734285,188738.176500
56,525067.764377,188656.365500
57,521786.459011,188173.359500
58,524199.698756,188314.776500
59,525061.292359,187218.365500
60,523297.525407,186842.054500
61,524160.444269,186750.997000
62,525002.687178,186226.147000
63,548598.153228,180440.902500
64,547621.509016,179426.409000
65,549685.106829,179307.202000
66,550395.919001,178963.187000
67,550005.208829,178209.654000
68,548179.473732,178053.664000
69,549950.702279,177275.838500
70,552525.925834,176942.065500
71,547761.924982,176899.466500
72,551207.367084,176622.863500
73,548931.407276,176767.231500
74,547051.093454,176501.654000
75,550521.484252,176335.028500
76,548800.967625,175386.198000
77,546441.799190,175420.690500
78,550319.429568,175077.735500
79,545050.737245,175430.390500
80,551664.232611,174877.452500
81,547941.837641,174812.188000
82,546900.666728,174336.281000
83,545604.475026,173838.134000
84,549727.157409,173532.116500
85,547700.872792,173310.738000
86,545194.028388,173039.145500
87,545690.293562,172244.864000
88,547107.921320,171682.062000
89,548757.053696,171464.974500
90,519374.369079,189765.927500
91,520819.897369,189208.942500
92,519179.181282,188738.712500
93,517598.962802,188184.937500
94,520362.743738,187804.625000
95,518935.108239,187648.789000
96,517919.731523,186919.477000
97,516809.554080,187139.029000
98,520110.028901,186686.716000
99,521768.879431,186560.161500
100,522678.708266,186521.062000
101,518690.274350,186272.390000
102,517064.884123,185832.588000
103,521262.313278,185736.854000
104,523364.516407,185506.554000
105,515970.823970,185544.541000
106,519587.439687,185428.656000
107,522605.790766,185307.257000
108,517502.456579,184998.489500
109,519014.393406,184929.130500
110,520709.921469,184924.047000
111,522798.142999,184518.758000
112,524057.971429,184634.110000
113,522082.323292,184341.237500
114,521388.130971,184375.356000
115,518802.395181,184143.640000
116,520145.355330,183506.752000
117,524941.573048,183897.809000
118,518111.966538,183796.769000
119,523572.770837,183860.329000
120,521651.805939,183424.952000
121,524391.893957,183331.401500
122,522952.686047,183248.313500
123,525117.905417,183073.706500
124,541810.090417,172484.383000
125,544402.991960,171450.093500
126,536001.720590,170502.180000
127,534300.822838,170574.776000
128,537192.245526,170383.424500
129,543178.961318,169925.500000
130,540509.834144,170083.790000
131,534966.685188,169845.919000
132,545288.804903,169894.739000
133,539321.565592,169514.673500
134,537678.699167,169236.485500
135,536046.538885,169596.813500
136,546919.509274,169442.683000
137,535083.516014,169157.067000
138,541463.430287,169261.700000
139,540286.387889,168531.608000
140,548450.771356,167916.367000
141,541314.303077,168020.648500
142,539025.996235,168045.843000
143,543276.841521,167903.487500
144,546379.305792,167939.000000
145,537361.093830,167417.304500
146,544651.023550,167341.293500
147,542078.045314,166809.152000
148,540099.936269,166959.935000
149,545740.345421,166556.547500
150,547272.659002,166552.578000
151,538495.265897,165921.006500
152,544634.367837,165808.923500
153,547219.665210,165434.500000
154,542296.106863,164872.382500
155,540005.403847,164921.358000
156,545701.520466,164815.685000
157,544384.623127,162631.830000
158,547337.325832,162906.976000
159,540981.390868,158905.098000
160,528052.946805,186553.305500
161,526458.164710,186411.082000
162,528970.590769,185687.111000
163,525815.788421,185715.940000
164,524752.090359,185475.929500
165,527687.671794,185207.585000
166,528532.314990,185092.297500
167,526516.844323,184978.679500
168,529548.712307,184983.405000
169,525720.915868,184868.056000
170,527077.717914,184771.920500
171,528126.330190,184656.284500
172,524886.974762,184565.122000
173,527488.307715,184545.186500
174,529689.351425,184537.177000
175,525846.905875,184357.039500
176,526950.126724,184104.707000
177,528145.732936,184073.626500
178,529430.330698,183973.475000
179,525706.766141,183734.427500
180,528619.722841,183207.736000
181,530013.417324,183421.887000
182,529188.540525,182854.090500
183,530724.860136,182606.168500
184,530199.124888,182499.129000
185,529469.130768,182006.127000
186,530745.551042,181987.582000
187,530491.884368,181660.109000
188,532997.572135,170288.612000
189,531984.338962,170168.064000
190,531205.934778,169560.494500
191,530357.751153,169269.017000
192,532134.658407,169216.389500
193,532809.567579,168840.963000
194,533667.571794,168769.145500
195,534438.947710,168597.147000
196,531478.410968,168308.588000
197,532126.400730,168079.960500
198,531021.246015,167960.621000
199,532959.683768,167308.463000
200,534331.368457,167327.232000
201,531841.573177,167181.971500
202,530653.024861,166974.613500
203,533804.814731,166808.485000
204,536132.263367,166720.167000
205,531055.291587,166284.434000
206,532438.048174,166411.979500
207,534734.997496,166333.041500
208,533300.180546,166262.700500
209,533841.664241,165160.780000
210,531467.650811,165388.125000
211,537278.627570,165516.000000
212,535946.353684,164822.374500
213,532556.505835,165065.931500
214,531608.583105,163825.109000
215,533129.198943,163741.119500
216,537701.390512,163529.896500
217,532547.327273,162780.140500
218,538597.439303,162831.793000
219,534712.605838,163172.697500
220,536636.656874,162706.837000
221,533323.316247,161984.221500
222,538828.707854,161680.518000
223,531775.103690,161675.447000
224,530106.504849,161197.042000
225,535091.512179,160803.775500
226,531984.251260,159971.152000
227,530572.116027,159795.749500
228,533086.514047,159629.230500
229,529336.180428,158286.487500
230,531495.888964,157471.468500
231,514694.054031,185045.218500
232,516106.346927,184769.899000
233,512298.467299,184653.072500
234,513566.619197,184278.516500
235,517263.867936,183577.581500
236,514771.488972,183387.887000
237,516250.313276,183147.713500
238,512495.021961,183427.944500
239,511071.586675,183235.592000
240,513431.214956,183065.181000
241,518446.542146,182606.698000
242,514362.405358,182169.197000
243,517490.577566,182224.308000
244,513676.435341,181935.226500
245,520239.711602,182107.331500
246,515507.645928,181746.291000
247,513069.419158,181653.664000
248,516360.528908,181643.534000
249,517010.251713,181116.355500
250,518437.315890,181167.994500
251,519745.015678,181271.363000
252,514838.115265,181337.431500
253,513044.918718,180527.770500
254,521214.123081,180772.124500
255,520144.665799,180391.226500
256,512204.802806,180228.240500
257,519120.245921,180210.695500
258,516287.087394,180107.285000
259,514276.533500,180188.897500
260,515448.255462,179909.483500
261,518035.392638,179873.181500
262,516983.315572,179865.119000
263,519922.798563,179575.725500
264,521051.986296,179446.889500
265,516033.416045,179256.910500
266,511521.605499,179131.189000
267,513075.332427,178923.980000
268,517333.845194,178850.513000
269,535906.685427,199431.489500
270,535087.538789,199223.243500
271,536876.267945,198885.181500
272,531426.861063,199266.468500
273,533918.141323,198089.074000
274,535121.734110,197885.211000
275,535862.103564,197650.939000
276,532717.294830,197259.217000
277,533538.032542,197321.030000
278,531219.784652,197481.641500
279,527663.524982,197882.398000
280,535094.353260,196480.641000
281,530417.992348,196720.227500
282,536607.413960,196678.060000
283,533160.928106,195887.003000
284,533799.283244,196037.275500
285,531969.616874,195694.499500
286,535631.849654,195033.817000
287,530181.850284,195077.579500
288,528986.929382,195180.158000
289,532950.085700,194699.275000
290,531183.365580,194368.226500
291,535011.299863,194373.810500
292,534016.941642,194367.171500
293,536059.043131,193904.415500
294,532208.355113,193443.641500
295,533582.349934,193355.084500
296,530030.436512,193198.914000
297,531081.987772,193341.614000
298,535617.919856,192948.762500
299,533044.668173,193216.507500
300,529098.783352,192498.879000
301,534509.542510,192216.398000
302,531947.375645,192201.924000
303,530745.528554,192389.775500
304,546916.231834,180304.094000
305,545572.657899,180081.793500
306,546733.042249,179411.165500
307,543496.150690,179003.641000
308,542682.894785,178608.393500
309,545599.094194,178717.909000
310,544664.894337,178765.441000
311,546895.755477,178174.741500
312,544392.142289,178532.210500
313,543767.112768,178176.531500
314,541840.017067,177889.555000
315,540807.115985,177823.797000
316,543082.153095,177628.145000
317,539699.099375,177545.246500
318,544897.196110,176730.020500
319,541504.849662,177045.243500
320,543846.895376,176772.912500
321,540468.544211,176678.402000
322,541831.390803,176326.535000
323,543481.856480,175726.069500
324,542055.674469,175280.305000
325,543330.440453,175082.112000
326,543275.731559,174212.045000
327,541474.170727,174014.148500
328,544420.926536,173589.024000
329,542871.193611,172492.801000
330,543667.281069,172267.240000
331,533784.650743,187901.000000
332,532286.612900,187495.327500
333,533083.238348,187460.655500
334,534126.395859,187449.549500
335,533907.703579,186765.056000
336,531937.735982,186840.709500
337,532796.519058,186562.398500
338,533460.433573,186503.257500
339,534421.399682,186063.514500
340,535202.209991,186057.785500
341,532874.336551,185833.214000
342,536637.322070,185928.682500
343,533634.735816,185749.246500
344,536002.216219,185565.885500
345,534489.510539,185323.955000
346,534908.330086,185028.841000
347,536776.646905,184976.986500
348,535691.146681,184848.397500
349,534351.364573,184667.535500
350,533595.209346,184561.776500
351,535684.970026,184183.409500
352,534948.086615,184007.926000
353,534114.558772,183628.864000
354,533223.082685,183660.742500
355,532403.668462,183190.161500
356,533137.982515,182574.671500
357,522226.342901,181717.877000
358,522540.608385,180569.616500
359,522000.152865,180506.892500
360,523327.612069,180178.975500
361,522951.282505,179839.017500
362,522280.096036,179701.482000
363,523647.745207,179550.473000
364,521923.744483,179308.725500
365,522940.401037,179199.500000
366,523675.135340,179078.982500
367,522090.470656,178797.820000
368,524395.840006,178757.151500
369,523171.938402,178593.507500
370,524282.275805,178033.629500
371,524885.422347,177984.433500
372,524114.280432,177759.799000
373,525318.031310,177587.950500
374,523633.728797,177286.345000
375,524469.476204,177256.558500
376,525565.231115,176899.622000
377,524809.689588,176807.009500
378,524236.952911,176785.852000
379,526069.064028,176375.806000
380,524464.357674,176165.792000
381,525448.880312,176066.237500
382,530492.696376,191294.038500
383,534981.368717,191110.058500
384,529783.215879,191168.498000
385,532387.701371,191124.095500
386,533074.586072,191124.095500
387,530966.679467,190981.766500
388,531677.986003,190895.495500
389,529743.868217,190276.165500
390,531631.754399,190232.846500
391,533515.089086,190070.643000
392,534062.484187,190224.193000
393,532613.949308,189905.429500
394,528544.282715,190135.636000
395,534516.546189,189893.113000
396,531059.710981,189964.039500
397,527638.607887,190137.038000
398,533163.744816,189790.328500
399,532030.968016,189693.426000
400,530566.223277,189316.398500
401,528724.307861,189167.211500
402,529536.844374,189144.868000
403,531405.879250,189033.693500
404,533214.780455,189107.955000
405,534116.396836,189076.320000
406,532780.825201,188838.795500
407,531985.205169,188740.721000
408,530893.400075,188541.983500
409,533895.983798,188537.613000
410,527915.099906,188277.482500
411,531809.997596,187862.827500
412,532872.665791,188178.302000
413,529283.847142,188256.557500
414,530363.511189,188080.001500
415,528906.998974,187678.987500
416,531155.419450,187611.263500
417,516449.509751,193227.419500
418,518363.088128,191671.363000
419,516347.447196,191615.669000
420,513817.472937,192310.744000
421,515236.688755,191135.630500
422,513874.386908,191025.427500
423,519117.140599,190949.488000
424,517195.434156,190950.801000
425,511178.329730,190890.653000
426,518410.388321,190490.111500
427,515105.341787,190191.940000
428,517535.373282,190254.125500
429,515879.534279,189904.221500
430,514124.165060,189978.897000
431,511982.524755,189698.990500
432,518632.900737,189324.581000
433,513155.426212,189099.064500
434,515423.649513,189031.452000
435,514304.207605,188704.134500
436,511989.333830,188249.168000
437,516103.890194,188251.187500
438,514208.196717,188013.652000
439,513187.276243,187678.495000
440,514206.720864,186730.169500
441,513126.327323,186621.366500
442,515281.567640,186714.970500
443,514038.059306,185835.039500
444,512718.746844,185762.370000
445,554310.863909,193337.896000
446,555378.586846,192156.362000
447,551709.648315,192595.069000
448,553738.210912,191771.228500
449,549360.491174,192146.492500
450,552684.611844,191372.900000
451,555527.184813,190699.543000
452,551376.855311,190523.826000
453,550312.371188,190319.292500
454,554705.705983,189480.745000
455,549687.595711,189828.864000
456,552528.589835,189651.563000
457,551418.603233,189009.374500
458,553200.830218,188335.127500
459,554947.914977,188265.609000
460,551866.609814,187919.257000
461,550151.359048,188043.760000
462,558921.168158,187297.592000
463,556492.835523,187706.382000
464,553868.520435,187171.649000
465,552351.653221,186933.879500
466,555358.286622,186806.681000
467,553126.934354,186065.361000
468,556430.577626,184541.797500
469,553611.179764,185331.526000
470,551642.509244,184999.393000
471,552189.390768,184120.718500
472,551121.640237,182520.703500
473,554556.029281,181665.074500
474,552503.147672,182027.952000
475,507861.682222,190778.897000
476,509564.185927,190646.397000
