Home,Location,S(0-24),I(0-24),R(0-24),S(25-49),I(25-49),R(25-49),S(50-79),I(50-79),R(50-79),S(75+),I(75+),R(75+)
0,0,2284,0,0,3089,0,0,2647,0,0,686,0,0
1,1,2908,0,0,2675,0,0,1553,0,0,584,0,0
2,2,3709,0,0,4211,0,0,2510,0,0,621,0,0
3,3,2164,0,0,2155,0,0,1668,0,0,599,0,0
4,4,3976,0,0,3833,0,0,1997,0,0,423,0,0
5,5,3988,0,0,3512,0,0,2063,0,0,560,0,0
6,6,4735,0,0,4569,0,0,2716,0,0,615,0,0
7,7,4587,0,0,4581,0,0,2050,0,0,374,0,0
8,8,3478,0,0,3354,0,0,1958,0,0,407,0,0
9,9,2507,0,0,2488,0,0,1539,0,0,449,0,0
10,10,4217,0,0,4227,0,0,2264,0,0,582,0,0
11,11,3499,0,0,3229,0,0,1821,0,0,350,0,0
12,12,3720,0,0,3611,0,0,2229,0,0,456,0,0
13,13,3116,0,0,2992,0,0,1624,0,0,337,0,0
14,14,3947,0,0,4752,0,0,1140,0,0,105,0,0
15,15,3183,0,0,4111,0,0,1668,0,0,369,0,0
16,16,3986,0,0,3649,0,0,1776,0,0,378,0,0
17,17,3578,0,0,3346,0,0,1881,0,0,343,0,0
18,18,5164,0,0,5197,0,0,2172,0,0,482,0,0
19,19,3540,0,0,3219,0,0,1810,0,0,401,0,0
20,20,3678,0,0,3482,0,0,1075,0,0,119,0,0
21,21,3581,0,0,3085,0,0,1148,0,0,171,0,0
22,22,2949,0,0,3587,0,0,3406,0,0,1046,0,0
23,23,2288,0,0,3083,0,0,2462,0,0,618,0,0
24,24,1934,0,0,2123,0,0,1993,0,0,579,0,0
25,25,3130,0,0,3211,0,0,2724,0,0,688,0,0
26,26,1888,0,0,2437,0,0,1841,0,0,527,0,0
27,27,3069,0,0,3418,0,0,2374,0,0,521,0,0
28,28,2612,0,0,2504,0,0,3150,0,0,1022,0,0
29,29,2054,0,0,2655,0,0,2147,0,0,872,0,0
30,30,2376,0,0,2376,0,0,2440,0,0,691,0,0
31,31,2638,0,0,3214,0,0,2458,0,0,609,0,0
32,32,2709,0,0,3407,0,0,2484,0,0,676,0,0
33,33,2424,0,0,3672,0,0,2171,0,0,736,0,0
34,34,3889,0,0,4044,0,0,2885,0,0,759,0,0
35,35,3632,0,0,3310,0,0,2676,0,0,760,0,0
36,36,3415,0,0,4499,0,0,2919,0,0,699,0,0
37,37,2271,0,0,2486,0,0,2006,0,0,505,0,0
38,38,2654,0,0,2973,0,0,2017,0,0,556,0,0
39,39,3341,0,0,3523,0,0,2355,0,0,752,0,0
40,40,3501,0,0,5038,0,0,2750,0,0,860,0,0
41,41,2639,0,0,2920,0,0,2043,0,0,593,0,0
42,42,3040,0,0,3332,0,0,2124,0,0,378,0,0
43,43,3399,0,0,4463,0,0,2548,0,0,498,0,0
44,44,2001,0,0,3504,0,0,1607,0,0,470,0,0
45,45,4237,0,0,4885,0,0,2693,0,0,583,0,0
46,46,3215,0,0,3933,0,0,2695,0,0,802,0,0
47,47,3610,0,0,3487,0,0,1927,0,0,268,0,0
48,48,3328,0,0,4358,0,0,2581,0,0,638,0,0
49,49,2764,0,0,3615,0,0,2356,0,0,951,0,0
50,50,2833,0,0,4786,0,0,2399,0,0,568,0,0
51,51,5289,0,0,7314,0,0,2546,0,0,494,0,0
52,52,2236,0,0,3237,0,0,1765,0,0,378,0,0
53,53,3747,0,0,4976,0,0,2368,0,0,770,0,0
54,54,2898,0,0,3086,0,0,2518,0,0,855,0,0
55,55,3020,0,0,3219,0,0,1466,0,0,442,0,0
56,56,3438,0,0,3958,0,0,2655,0,0,898,0,0
57,57,3449,0,0,4994,0,0,2609,0,0,606,0,0
58,58,4915,0,0,4420,0,0,2157,0,0,866,0,0
59,59,2459,0,0,3887,0,0,1975,0,0,659,0,0
60,60,2282,0,0,2815,0,0,1483,0,0,246,0,0
