Node, x, y
0, -10419.970896, 6712995.935686
1, 15666.385986, 6726087.484964
2, 15378.543347, 6723818.372146
3, 19711.477815, 6720201.384777
4, 15712.137675, 6721069.420719
5, 17600.187413, 6720772.430587
6, 15272.679722, 6719649.441707
7, 12837.663938, 6719505.663237
8, 16821.560943, 6718545.585429
9, 19017.507589, 6718356.673478
10, 10888.777123, 6718117.655844
11, 13908.611429, 6717745.168829
12, 16334.656426, 6717252.460675
13, 18227.966709, 6716678.680234
14, 8475.154836, 6717194.688027
15, 9812.566384, 6717371.731361
16, 12656.583300, 6717277.154090
17, 14741.962845, 6715262.727253
18, 10920.149318, 6714894.311715
19, 17294.938459, 6714820.155254
20, 8846.929111, 6716068.402173
21, 12326.574317, 6714913.127621
22, -23127.038181, 6738463.319241
23, -19492.710048, 6737988.685679
24, -17272.900112, 6736526.336466
25, -23589.193769, 6736413.811312
26, -19899.325610, 6735995.365457
27, -18114.607415, 6735905.758442
28, -27023.958011, 6735564.052577
29, -19041.419018, 6734188.354693
30, -15348.342991, 6733577.455374
31, -16528.242817, 6732891.978980
32, -18275.624808, 6732227.208606
33, -20423.249485, 6732177.694776
34, -29173.804573, 6732296.903945
35, -31629.237455, 6732984.774643
36, -17389.286736, 6731024.442408
37, -26962.995101, 6730839.041583
38, -23971.250373, 6731204.236623
39, -30416.252769, 6730493.623153
40, -19696.321955, 6730128.816211
41, -21545.565537, 6730864.161831
42, -28318.824512, 6730140.006684
43, -16583.597206, 6728956.080476
44, -21054.504538, 6728382.531640
45, -29130.193249, 6728469.368991
46, -24137.238271, 6728474.016641
47, -27407.073883, 6728571.894140
48, -19345.935239, 6728090.096919
49, -22013.008332, 6727201.731631
50, -18142.909334, 6726607.952698
51, -27621.630599, 6727018.303926
52, -26065.011093, 6726515.031146
53, -25033.270507, 6725811.902756
54, -19736.438473, 6724754.107041
55, -24046.183865, 6725232.505308
56, -21853.154334, 6725029.453818
57, -27138.222131, 6724406.661012
58, -23268.219102, 6724526.966662
59, -21886.276999, 6722555.993229
60, -24754.248808, 6722193.025196
61, -23379.067033, 6722008.823697
62, -22018.298491, 6721167.959937
63, 15556.573653, 6710858.081087
64, 13928.377803, 6709236.154839
65, 17229.867987, 6708949.359914
66, 18350.469633, 6708388.331689
67, 17701.431799, 6707135.166930
68, 14763.416678, 6706976.626549
69, 17554.908928, 6705716.872252
70, 21664.176893, 6704969.471405
