Home,Location,Age,Area,betaI,betaA,gammaE,gammaA,gammaI
0,0,ALL,2.905399307766,NaN,NaN,NaN,NaN,NaN
1,1,ALL,2.165633766619,NaN,NaN,NaN,NaN,NaN
2,2,ALL,2.143564999322,NaN,NaN,NaN,NaN,NaN
3,3,ALL,2.4902154461625,NaN,NaN,NaN,NaN,NaN
4,4,ALL,1.1861799271595,NaN,NaN,NaN,NaN,NaN
5,5,ALL,1.73391575442,NaN,NaN,NaN,NaN,NaN
6,6,ALL,1.4193088127135,NaN,NaN,NaN,NaN,NaN
7,7,ALL,0.965621950798,NaN,NaN,NaN,NaN,NaN
8,8,ALL,1.120326014801,NaN,NaN,NaN,NaN,NaN
9,9,ALL,1.6021570003815,NaN,NaN,NaN,NaN,NaN
10,10,ALL,1.299786890538,NaN,NaN,NaN,NaN,NaN
11,11,ALL,1.300097739963,NaN,NaN,NaN,NaN,NaN
12,12,ALL,1.194288516283,NaN,NaN,NaN,NaN,NaN
13,13,ALL,1.358869639395,NaN,NaN,NaN,NaN,NaN
14,14,ALL,0.8807616995735,NaN,NaN,NaN,NaN,NaN
15,15,ALL,0.879263261685,NaN,NaN,NaN,NaN,NaN
16,16,ALL,1.3628751688085,NaN,NaN,NaN,NaN,NaN
17,17,ALL,3.046746671719,NaN,NaN,NaN,NaN,NaN
18,18,ALL,3.4167983661785,NaN,NaN,NaN,NaN,NaN
19,19,ALL,2.8720265541205,NaN,NaN,NaN,NaN,NaN
20,20,ALL,0.753371510135,NaN,NaN,NaN,NaN,NaN
21,21,ALL,1.7388729121015,NaN,NaN,NaN,NaN,NaN
22,22,ALL,3.7547022063655,NaN,NaN,NaN,NaN,NaN
23,23,ALL,2.401892269614,NaN,NaN,NaN,NaN,NaN
24,24,ALL,1.4701820182085,NaN,NaN,NaN,NaN,NaN
25,25,ALL,1.676496867295,NaN,NaN,NaN,NaN,NaN
26,26,ALL,1.05311913503,NaN,NaN,NaN,NaN,NaN
27,27,ALL,1.686684208128,NaN,NaN,NaN,NaN,NaN
28,28,ALL,14.577404817007,NaN,NaN,NaN,NaN,NaN
29,29,ALL,1.9458945924215,NaN,NaN,NaN,NaN,NaN
30,30,ALL,1.404155301647,NaN,NaN,NaN,NaN,NaN
31,31,ALL,1.775686891972,NaN,NaN,NaN,NaN,NaN
32,32,ALL,1.547080668992,NaN,NaN,NaN,NaN,NaN
33,33,ALL,1.304202068234,NaN,NaN,NaN,NaN,NaN
34,34,ALL,1.780800262392,NaN,NaN,NaN,NaN,NaN
35,35,ALL,4.3303403783575,NaN,NaN,NaN,NaN,NaN
36,36,ALL,1.7642380856475,NaN,NaN,NaN,NaN,NaN
37,37,ALL,2.125129419734,NaN,NaN,NaN,NaN,NaN
38,38,ALL,5.1607010133575,NaN,NaN,NaN,NaN,NaN
39,39,ALL,1.3507076484885,NaN,NaN,NaN,NaN,NaN
40,40,ALL,1.209999021487,NaN,NaN,NaN,NaN,NaN
41,41,ALL,1.463913056384,NaN,NaN,NaN,NaN,NaN
42,42,ALL,1.116713796149,NaN,NaN,NaN,NaN,NaN
43,43,ALL,1.74590481786,NaN,NaN,NaN,NaN,NaN
44,44,ALL,0.973088332171,NaN,NaN,NaN,NaN,NaN
45,45,ALL,1.4100261542655,NaN,NaN,NaN,NaN,NaN
46,46,ALL,3.104037180459,NaN,NaN,NaN,NaN,NaN
47,47,ALL,0.7802873480315,NaN,NaN,NaN,NaN,NaN
48,48,ALL,2.1208730112185,NaN,NaN,NaN,NaN,NaN
49,49,ALL,1.443106901793,NaN,NaN,NaN,NaN,NaN
50,50,ALL,0.9626977763525,NaN,NaN,NaN,NaN,NaN
51,51,ALL,1.556593697256,NaN,NaN,NaN,NaN,NaN
52,52,ALL,1.494024506711,NaN,NaN,NaN,NaN,NaN
53,53,ALL,1.441182575031,NaN,NaN,NaN,NaN,NaN
54,54,ALL,3.231273846642,NaN,NaN,NaN,NaN,NaN
55,55,ALL,1.0953921034265,NaN,NaN,NaN,NaN,NaN
56,56,ALL,1.8122150218115,NaN,NaN,NaN,NaN,NaN
57,57,ALL,2.189469473635,NaN,NaN,NaN,NaN,NaN
58,58,ALL,1.2357126519065,NaN,NaN,NaN,NaN,NaN
59,59,ALL,1.590792641165,NaN,NaN,NaN,NaN,NaN
60,60,ALL,1.837519233142,NaN,NaN,NaN,NaN,NaN
61,61,ALL,1.0341286231795,NaN,NaN,NaN,NaN,NaN
62,62,ALL,0.792418503674,NaN,NaN,NaN,NaN,NaN
63,63,ALL,3.208925584451,NaN,NaN,NaN,NaN,NaN
64,64,ALL,1.567092430485,NaN,NaN,NaN,NaN,NaN
65,65,ALL,2.315088565397,NaN,NaN,NaN,NaN,NaN
66,66,ALL,2.2734934756615,NaN,NaN,NaN,NaN,NaN
67,67,ALL,1.4545128626275,NaN,NaN,NaN,NaN,NaN
68,68,ALL,1.856084476313,NaN,NaN,NaN,NaN,NaN
69,69,ALL,1.1798086156605,NaN,NaN,NaN,NaN,NaN
70,70,ALL,4.3810110909805,NaN,NaN,NaN,NaN,NaN
71,71,ALL,1.600423262905,NaN,NaN,NaN,NaN,NaN
72,72,ALL,1.1266478021085,NaN,NaN,NaN,NaN,NaN
