Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
0,0,414,601,250,910,1333,1624,1695,839,654
1,1,636,904,436,765,1057,1476,1036,432,550
2,2,845,1067,503,1094,1734,2261,1713,662,585
3,3,441,534,265,796,930,1113,1145,432,566
4,4,934,1189,562,1078,1517,2116,1404,485,397
5,5,907,1208,562,1097,1407,1925,1455,498,527
6,6,1012,1537,635,1300,1653,2680,1892,681,581
7,7,1064,1469,598,1211,1850,2494,1490,448,352
8,8,782,1053,520,933,1254,1929,1433,420,382
9,9,566,696,330,775,957,1400,1054,399,422
10,10,813,1221,543,1412,1798,2210,1548,594,549
11,11,698,1180,501,930,1249,1811,1248,475,330
12,12,872,1171,503,973,1425,2001,1535,573,429
13,13,687,960,396,901,1226,1607,1135,401,316
14,14,1120,1237,469,910,2244,2264,864,209,96
15,15,742,907,402,954,1814,2085,1185,393,348
16,16,894,1207,548,1123,1443,2019,1262,417,355
17,17,742,1147,485,1007,1262,1912,1309,471,323
18,18,1262,1566,714,1347,2204,2729,1561,494,452
19,19,732,1156,492,968,1263,1788,1261,451,378
20,20,883,1236,538,822,1450,1850,799,214,109
21,21,872,1190,468,855,1217,1706,858,224,160
22,22,561,818,468,889,1213,2127,2111,1060,973
23,23,497,679,372,567,1112,1757,1575,714,572
24,24,446,550,275,517,760,1213,1230,620,534
25,25,525,888,511,977,1075,1912,1698,835,635
26,26,422,563,268,490,851,1415,1188,520,487
27,27,674,925,466,785,1218,1964,1559,650,482
28,28,405,727,472,816,762,1568,1927,1004,949
29,29,464,556,300,581,958,1510,1332,666,811
30,30,360,732,402,706,732,1477,1549,721,639
31,31,507,770,382,788,1122,1869,1596,690,563
32,32,563,812,389,748,1129,2042,1538,775,625
33,33,568,729,282,665,1443,1979,1285,731,684
34,34,883,1114,549,1065,1535,2234,1860,824,705
35,35,738,1155,567,910,1183,1896,1568,922,706
36,36,641,997,534,997,1593,2601,1905,811,649
37,37,453,629,351,670,884,1430,1284,580,467
38,38,515,820,428,696,1099,1669,1195,681,514
39,39,711,980,492,920,1340,1939,1508,682,698
40,40,721,1096,431,1004,1764,2931,1808,749,799
41,41,498,884,435,628,834,1883,1245,653,549
42,42,591,933,428,866,1205,1895,1479,494,348
43,43,653,1031,494,977,1598,2559,1720,649,461
44,44,454,563,252,582,1327,1935,1047,444,435
45,45,829,1275,598,1233,1839,2712,1800,703,539
46,46,698,986,472,828,1406,2255,1616,891,744
47,47,703,1059,553,1039,1247,2000,1362,430,246
48,48,627,994,491,977,1629,2431,1633,769,591
49,49,508,786,394,876,1362,2008,1410,784,884
50,50,584,857,411,776,1922,2535,1502,727,524
51,51,1176,1391,628,1723,3511,3312,1825,540,458
52,52,454,555,284,777,1372,1642,1134,504,348
53,53,721,953,410,1395,2340,2298,1542,662,714
54,54,510,936,509,729,953,1918,1513,828,796
55,55,689,912,383,819,1516,1480,909,453,407
56,56,684,1035,510,962,1501,2186,1569,901,834
57,57,798,944,419,1041,2092,2560,1776,652,560
58,58,1004,1571,750,1247,1910,2207,1345,662,804
59,59,497,679,339,764,1577,2044,1237,597,610
60,60,366,630,323,793,1136,1482,994,382,227
61,61,487,618,351,749,1223,1677,1261,431,402
62,62,373,567,273,762,1215,1433,966,430,336
63,63,661,1226,601,1027,1126,2103,1450,393,281
64,64,705,1159,589,1102,1413,2107,1785,644,429
65,65,812,1116,496,1040,1793,2257,1567,556,494
66,66,752,894,417,881,1319,1825,1214,378,367
67,67,483,630,305,673,955,1327,1180,533,568
68,68,458,622,338,764,1101,1463,1679,800,724
69,69,525,707,374,800,1055,1553,1449,616,470
70,70,1103,1653,718,1491,2023,2733,1927,558,481
71,71,575,946,527,1091,1190,2219,2200,1043,983
72,72,543,884,458,815,1243,1694,1576,645,548
73,73,424,635,326,700,922,1531,1718,1005,884
