Home,Location,Area,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
0,0,2.905399307766,414,601,250,910,1333,1624,1695,839,654
1,1,2.165633766619,636,904,436,765,1057,1476,1036,432,550
2,2,2.143564999322,845,1067,503,1094,1734,2261,1713,662,585
3,3,2.4902154461625,441,534,265,796,930,1113,1145,432,566
4,4,1.1861799271595,934,1189,562,1078,1517,2116,1404,485,397
5,5,1.73391575442,907,1208,562,1097,1407,1925,1455,498,527
6,6,1.4193088127135,1012,1537,635,1300,1653,2680,1892,681,581
7,7,0.965621950798,1064,1469,598,1211,1850,2494,1490,448,352
8,8,1.120326014801,782,1053,520,933,1254,1929,1433,420,382
9,9,1.6021570003815,566,696,330,775,957,1400,1054,399,422
10,10,1.299786890538,813,1221,543,1412,1798,2210,1548,594,549
11,11,1.300097739963,698,1180,501,930,1249,1811,1248,475,330
12,12,1.194288516283,872,1171,503,973,1425,2001,1535,573,429
13,13,1.358869639395,687,960,396,901,1226,1607,1135,401,316
14,14,0.8807616995735,1120,1237,469,910,2244,2264,864,209,96
15,15,0.879263261685,742,907,402,954,1814,2085,1185,393,348
16,16,1.3628751688085,894,1207,548,1123,1443,2019,1262,417,355
17,17,3.046746671719,742,1147,485,1007,1262,1912,1309,471,323
18,18,3.4167983661785,1262,1566,714,1347,2204,2729,1561,494,452
19,19,2.8720265541205,732,1156,492,968,1263,1788,1261,451,378
20,20,0.753371510135,883,1236,538,822,1450,1850,799,214,109
21,21,1.7388729121015,872,1190,468,855,1217,1706,858,224,160
22,22,3.7547022063655,561,818,468,889,1213,2127,2111,1060,973
23,23,2.401892269614,497,679,372,567,1112,1757,1575,714,572
24,24,1.4701820182085,446,550,275,517,760,1213,1230,620,534
25,25,1.676496867295,525,888,511,977,1075,1912,1698,835,635
26,26,1.05311913503,422,563,268,490,851,1415,1188,520,487
27,27,1.686684208128,674,925,466,785,1218,1964,1559,650,482
28,28,14.577404817007,405,727,472,816,762,1568,1927,1004,949
29,29,1.9458945924215,464,556,300,581,958,1510,1332,666,811
30,30,1.404155301647,360,732,402,706,732,1477,1549,721,639
31,31,1.775686891972,507,770,382,788,1122,1869,1596,690,563
32,32,1.547080668992,563,812,389,748,1129,2042,1538,775,625
33,33,1.304202068234,568,729,282,665,1443,1979,1285,731,684
34,34,1.780800262392,883,1114,549,1065,1535,2234,1860,824,705
35,35,4.3303403783575,738,1155,567,910,1183,1896,1568,922,706
36,36,1.7642380856475,641,997,534,997,1593,2601,1905,811,649
37,37,2.125129419734,453,629,351,670,884,1430,1284,580,467
38,38,5.1607010133575,515,820,428,696,1099,1669,1195,681,514
39,39,1.3507076484885,711,980,492,920,1340,1939,1508,682,698
40,40,1.209999021487,721,1096,431,1004,1764,2931,1808,749,799
41,41,1.463913056384,498,884,435,628,834,1883,1245,653,549
42,42,1.116713796149,591,933,428,866,1205,1895,1479,494,348
43,43,1.74590481786,653,1031,494,977,1598,2559,1720,649,461
44,44,0.973088332171,454,563,252,582,1327,1935,1047,444,435
45,45,1.4100261542655,829,1275,598,1233,1839,2712,1800,703,539
46,46,3.104037180459,698,986,472,828,1406,2255,1616,891,744
47,47,0.7802873480315,703,1059,553,1039,1247,2000,1362,430,246
48,48,2.1208730112185,627,994,491,977,1629,2431,1633,769,591
49,49,1.443106901793,508,786,394,876,1362,2008,1410,784,884
50,50,0.9626977763525,584,857,411,776,1922,2535,1502,727,524
51,51,1.556593697256,1176,1391,628,1723,3511,3312,1825,540,458
52,52,1.494024506711,454,555,284,777,1372,1642,1134,504,348
53,53,1.441182575031,721,953,410,1395,2340,2298,1542,662,714
54,54,3.231273846642,510,936,509,729,953,1918,1513,828,796
55,55,1.0953921034265,689,912,383,819,1516,1480,909,453,407
56,56,1.8122150218115,684,1035,510,962,1501,2186,1569,901,834
57,57,2.189469473635,798,944,419,1041,2092,2560,1776,652,560
58,58,1.2357126519065,1004,1571,750,1247,1910,2207,1345,662,804
59,59,1.590792641165,497,679,339,764,1577,2044,1237,597,610
60,60,1.837519233142,366,630,323,793,1136,1482,994,382,227
61,61,1.0341286231795,487,618,351,749,1223,1677,1261,431,402
62,62,0.792418503674,373,567,273,762,1215,1433,966,430,336
63,63,3.208925584451,661,1226,601,1027,1126,2103,1450,393,281
64,64,1.567092430485,705,1159,589,1102,1413,2107,1785,644,429
65,65,2.315088565397,812,1116,496,1040,1793,2257,1567,556,494
66,66,2.2734934756615,752,894,417,881,1319,1825,1214,378,367
67,67,1.4545128626275,483,630,305,673,955,1327,1180,533,568
68,68,1.856084476313,458,622,338,764,1101,1463,1679,800,724
69,69,1.1798086156605,525,707,374,800,1055,1553,1449,616,470
70,70,4.3810110909805,1103,1653,718,1491,2023,2733,1927,558,481
71,71,1.600423262905,575,946,527,1091,1190,2219,2200,1043,983
72,72,1.1266478021085,543,884,458,815,1243,1694,1576,645,548
73,73,1.5325576238165,424,635,326,700,922,1531,1718,1005,884
74,74,1.1118598446435,472,715,392,855,1103,1677,1582,665,666
75,75,1.485072170995,497,624,352,736,1029,1609,1467,779,709
76,76,1.654069197907,531,746,338,711,1266,1781,1481,722,964
