Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
0,0,5373,0,0,0,3333,0,0,0
1,1,5583,0,0,0,2137,0,0,0
2,2,7920,0,0,0,3131,0,0,0
3,3,4319,0,0,0,2267,0,0,0
4,4,7809,0,0,0,2420,0,0,0
5,5,7500,0,0,0,2623,0,0,0
6,6,9304,0,0,0,3331,0,0,0
7,7,9168,0,0,0,2424,0,0,0
8,8,6832,0,0,0,2365,0,0,0
9,9,4995,0,0,0,1988,0,0,0
10,10,8444,0,0,0,2846,0,0,0
11,11,6728,0,0,0,2171,0,0,0
12,12,7331,0,0,0,2685,0,0,0
13,13,6108,0,0,0,1961,0,0,0
14,14,8699,0,0,0,1245,0,0,0
15,15,7294,0,0,0,2037,0,0,0
16,16,7635,0,0,0,2154,0,0,0
17,17,6924,0,0,0,2224,0,0,0
18,18,10361,0,0,0,2654,0,0,0
19,19,6759,0,0,0,2211,0,0,0
20,20,7160,0,0,0,1194,0,0,0
21,21,6666,0,0,0,1319,0,0,0
22,22,6536,0,0,0,4452,0,0,0
23,23,5371,0,0,0,3080,0,0,0
24,24,4057,0,0,0,2572,0,0,0
25,25,6341,0,0,0,3412,0,0,0
26,26,4325,0,0,0,2368,0,0,0
27,27,6487,0,0,0,2895,0,0,0
28,28,5116,0,0,0,4172,0,0,0
29,29,4709,0,0,0,3019,0,0,0
30,30,4752,0,0,0,3131,0,0,0
31,31,5852,0,0,0,3067,0,0,0
32,32,6116,0,0,0,3160,0,0,0
33,33,6096,0,0,0,2907,0,0,0
34,34,7933,0,0,0,3644,0,0,0
35,35,6942,0,0,0,3436,0,0,0
36,36,7914,0,0,0,3618,0,0,0
37,37,4757,0,0,0,2511,0,0,0
38,38,5627,0,0,0,2573,0,0,0
39,39,6864,0,0,0,3107,0,0,0
40,40,8539,0,0,0,3610,0,0,0
41,41,5559,0,0,0,2636,0,0,0
42,42,6372,0,0,0,2502,0,0,0
43,43,7862,0,0,0,3046,0,0,0
44,44,5505,0,0,0,2077,0,0,0
45,45,9122,0,0,0,3276,0,0,0
46,46,7148,0,0,0,3497,0,0,0
47,47,7097,0,0,0,2195,0,0,0
48,48,7686,0,0,0,3219,0,0,0
49,49,6379,0,0,0,3307,0,0,0
50,50,7619,0,0,0,2967,0,0,0
51,51,12603,0,0,0,3040,0,0,0
52,52,5473,0,0,0,2143,0,0,0
53,53,8723,0,0,0,3138,0,0,0
54,54,5984,0,0,0,3373,0,0,0
55,55,6239,0,0,0,1908,0,0,0
56,56,7396,0,0,0,3553,0,0,0
57,57,8443,0,0,0,3215,0,0,0
58,58,9335,0,0,0,3023,0,0,0
59,59,6346,0,0,0,2634,0,0,0
60,60,5097,0,0,0,1729,0,0,0
61,61,5497,0,0,0,2258,0,0,0
62,62,4981,0,0,0,1870,0,0,0
63,63,6837,0,0,0,2155,0,0,0
64,64,7171,0,0,0,2898,0,0,0
65,65,7612,0,0,0,2655,0,0,0
66,66,6171,0,0,0,1991,0,0,0
67,67,4440,0,0,0,2316,0,0,0
68,68,4819,0,0,0,3245,0,0,0
69,69,5086,0,0,0,2572,0,0,0
70,70,9842,0,0,0,3009,0,0,0
71,71,6641,0,0,0,4281,0,0,0
72,72,5717,0,0,0,2810,0,0,0
73,73,4606,0,0,0,3655,0,0,0
74,74,5291,0,0,0,2950,0,0,0
75,75,4919,0,0,0,2994,0,0,0
76,76,5451,0,0,0,3209,0,0,0
77,77,6514,0,0,0,3660,0,0,0
78,78,4872,0,0,0,3165,0,0,0
79,79,5904,0,0,0,3307,0,0,0
80,80,7919,0,0,0,3501,0,0,0
81,81,6711,0,0,0,4316,0,0,0
82,82,5109,0,0,0,2895,0,0,0
83,83,4371,0,0,0,2943,0,0,0
84,84,4705,0,0,0,3354,0,0,0
85,85,4747,0,0,0,3047,0,0,0
86,86,4721,0,0,0,3187,0,0,0
87,87,6097,0,0,0,3445,0,0,0
88,88,5787,0,0,0,4179,0,0,0
89,89,4461,0,0,0,2333,0,0,0
90,90,7625,0,0,0,3522,0,0,0
91,91,6426,0,0,0,2757,0,0,0
92,92,6617,0,0,0,3377,0,0,0
93,93,4488,0,0,0,2987,0,0,0
94,94,6128,0,0,0,2969,0,0,0
