,st_areasha
0,2905399.307766
1,2165633.766619
2,2143564.999322
3,2490215.4461625
4,1186179.9271595
5,1733915.75442
6,1419308.8127135
7,965621.950798
8,1120326.014801
9,1602157.0003815
10,1299786.890538
11,1300097.739963
12,1194288.516283
13,1358869.639395
14,880761.6995735
15,879263.261685
16,1362875.1688085
17,3046746.671719
18,3416798.3661785
19,2872026.5541205
20,753371.510135
21,1738872.9121015
22,3754702.2063655
23,2401892.269614
24,1470182.0182085
25,1676496.867295
26,1053119.13503
27,1686684.208128
28,14577404.817007
29,1945894.5924215
30,1404155.301647
31,1775686.891972
32,1547080.668992
33,1304202.068234
34,1780800.262392
35,4330340.3783575
36,1764238.0856475
37,2125129.419734
38,5160701.0133575
39,1350707.6484885
40,1209999.021487
41,1463913.056384
42,1116713.796149
43,1745904.81786
44,973088.332171
45,1410026.1542655
46,3104037.180459
47,780287.3480315
48,2120873.0112185
49,1443106.901793
50,962697.7763525
51,1556593.697256
52,1494024.506711
53,1441182.575031
54,3231273.846642
55,1095392.1034265
56,1812215.0218115
57,2189469.473635
58,1235712.6519065
59,1590792.641165
60,1837519.233142
61,1034128.6231795
62,792418.503674
63,3208925.584451
64,1567092.430485
65,2315088.565397
66,2273493.4756615
67,1454512.8626275
68,1856084.476313
69,1179808.6156605
70,4381011.0909805
71,1600423.262905
72,1126647.8021085
73,1532557.6238165
74,1111859.8446435
75,1485072.170995
76,1654069.197907
77,1686344.903692
78,2209023.875616
79,1488833.810187
80,3731706.8005475
81,2590919.0937145
82,1625564.714134
83,1488848.7321855
84,3719146.3803535
85,1999021.658179
86,1367775.794687
87,1816761.9073165
88,2729436.21784
89,5992122.500127
90,1377180.407357
91,1164099.3007235
92,1551091.7684675
93,1633631.836854
94,1873568.0107405
95,1830793.803045
96,1287576.873264
97,2074407.3632275
98,1404690.371281
99,1362844.671361
100,1762776.1313585
101,1109192.737233
102,1378660.943239
103,1346081.0542835
104,950161.143963
105,806345.150807
106,1932959.1318135
107,808192.1408605
108,1133743.2590715
109,1271029.308859
110,1490501.540868
111,608262.032215
112,853501.129935
113,1098282.681854
114,894275.520438
115,1228288.6428685
116,2571815.799395
117,506258.032156
118,1393382.6234755
119,1195147.5794105
120,1027119.770921
121,1104765.6941215
122,764600.9362175
123,440060.5879935
